apps_sydney_2017/data/country_data/br	year	month	day	focal_depth	magnitute	country	location_name	latitude	longitude	deaths	missing	injuries	damage_millions_dollars			damage_description	houses_destroyed	houses_destroyed_description	houses_damaged	houses_damaged_description	total_deaths	total_deaths_description	total_missing	total_missing_description	total_injuries	total_injuries_description	total_damage_millions_dollars	total_damage_range	total_damage_description	total_houses_destroyed	total_houses_damaged
	2008	7	24	10	5.6	china	china:  sichuan province	32.747	105.542	1		17				3	1200	4	1200	4	1	1			17	1		~$5 to $24 Million	3	1200	
	2008	7	29	15	5.4	usa	california:  los angeles	33.953	-117.761			8				1				1					8	1		Less than $1 Million	1		
	2008	8	1	7	5.7	china	china:  sichuan province	32.036	104.722			231				2	540	3	540	3					231	3		~$1 to $5 Million	2	540	2450
	2008	8	5	6	6	china	china:  sichuan province	32.756	105.494	4		29				1					4	1			29	1		Less than $1 Million	1		
	2008	8	11	13	5.2	venezuela	venezuela:  cariaco-cumana	10.514	-64.171							1			50	1								Less than $1 Million	1		50
	2008	8	15	10	6	philippines	philippines:  luzon:  legaspi	12.897	124.319							1												Less than $1 Million	1		
	2008	8	19	46	5	china	china:  yunnan province	25.051	97.919							3	5	1	5	1								~$5 to $24 Million	3	5	2420
	2008	8	21	1	6	china	china:  yunnan province	25.044	97.684	5		127				3					5	1			127	3		~$5 to $24 Million	3		
	2008	8	25	32	5.5	new zealand	new zealand:  north island	-39.715	176.851							2												Less than $1 Million	1		
	2008	8	25	12	6.7	china	china:  tibet (xizang province)	30.901	83.52							2			700	3								~$1 to $5 Million	2		700
Tsu	2008	8	26	10	5	atlantic ocean	atlantic ocean:  south	-52.533	26.417																			#N/A			
	2008	8	27	16	6.2	russia	russia:  lake baykal	51.607	104.158							1												Less than $1 Million	1		
	2008	8	30	17	5.9	china	china:  sichuan province	26.272	101.937	43		589				4	392000	4	392000	4	43	1			589	3		$25 Million or more	4	392000	
	2008	9	3	6	4.1	turkey	turkey:  adiyaman	37.507	38.503							1												Less than $1 Million	1		
	2008	9	9	25	5.4	indonesia	indonesia:  sumatra:  southern	-3.935	103.058	2						2					2	1						~$1 to $5 Million	2		113
	2008	9	10	12	6.1	iran	iran:  hormozgan province	26.743	55.828	7		45				3		3		3	7	1			45	1		~$5 to $24 Million	3		
Tsu	2008	9	11	25	6.8	japan	japan:  hokkaido	41.892	143.754																			#N/A			
