"","id","date","country","hazard_type","hazard_subtype","trigger","trigger_name","fatalities","injuries","source_name","source_link","location_description","location_accuracy","hazard_size","distance","population.dis","countrycode","continentcode","tstamp","latitude.dis","longitude.dis","magnitude","tsunami_ind","damage_range","houses_damaged","city_name","latitude.cit","longitude.cit","feature_class","feature_code","population.cit","elevation","average_elevation","timezone","X","X.1","distance_between"
"21699",23,2007-02-11,"Fiji","landslide","Landslide","Rain","",NA,NA,"Fiji Times Online","http://www.fijitimes.com/story.aspx?id=57018","",50,"Medium",27.83596,42284,"FJ","OC","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-18.0167,177.55,NA,NA,NA,NA,"Nadi",-17.80309,177.41617,"P","PPL",42284,NA,1,"Pacific/Fiji","","",1448.63951686212
"21706",24,2007-02-11,"United States","landslide","Landslide","Rain","",NA,NA,"ABC7 news","http://abclocal.go.com/kgo/story?section=local&id=5024231","",5,"Small",9.96508,2933,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",38.4909,-122.3494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21707",25,2007-02-13,"United Kingdom","landslide","Landslide","Rain","",NA,NA,"UK-BBC.com","http://news.bbc.co.uk/2/hi/uk_news/england/cornwall/6363899.stm","",10,"Small",1.84621,3170,"GB","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",50.4444,-4.9527,NA,NA,NA,NA,"Ystrad Mynach",51.64276,-3.2362,"P","PPLA2",0,NA,115,"Europe/London","","",9066.52739049317
"21708",26,2007-02-14,"United Kingdom","landslide","Landslide","Rain","",NA,NA,"BBC News","http://news.bbc.co.uk/2/hi/uk_news/england/surrey/6362977.stm","",5,"Small",2.42905,51559,"GB","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",51.28777211,-0.15430659,NA,NA,NA,NA,"Ystrad Mynach",51.64276,-3.2362,"P","PPLA2",0,NA,115,"Europe/London","","",4725.75984146599
"21709",27,2007-02-15,"United States","landslide","Landslide","Rain","",NA,NA,"KGW","https://slidingthought.wordpress.com/tag/stevenson-landslide/","Above_river",NA,"Medium",0.67264,1465,"US",NA,"Thu Dec 17 2015 16:23:20 GMT+0000 (UTC)",45.6993,-121.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21710",28,2007-02-19,"Indonesia","landslide","Landslide","Rain","",21,NA,"BBC News","http://news.bbc.co.uk/1/hi/world/asia-pacific/1825601.stm","",50,"Large",22.71493,111461,"ID","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-7.28,110.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21711",29,2007-02-25,"Pakistan","landslide","Landslide","Rain","",8,NA,"Presstv","http://www.presstv.ir/detail.aspx?id=534&sectionid=3510204","",50,"Medium",1.14371,50000,"PK","AS","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",33.8667,73.7667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21712",30,2007-02-27,"United States","landslide","Complex","Rain","",NA,NA,"MandC","http://news.monstersandcritics.com/usa/news/article_1270206.php/San_Francisco_hit_by_landslide","",5,"Medium",4.28838,805235,"US",NA,"Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",37.7923,-122.4629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21713",31,2007-03-01,"Indonesia","landslide","Landslide","Rain","",12,NA,"News Xinhuet","http://news.xinhuanet.com/english/2007-03/04/content_5797299.htm","",50,"Medium",12.08092,17356,"TL","OC","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",-8.6993,125.6723,NA,NA,NA,NA,"Aileu",-8.72806,125.56639,"P","PPLA",17356,913,926,"Asia/Dili","","",542.918394507568
"21729",32,2007-03-03,"France","landslide","Landslide","Unknown","",NA,NA,"Reuters - AlertNet.org","http://www.alertnet.org/thenews/newsdesk/L03580399.htm","",5,"Small",5.87091,10614,"FR","EU","Tue Apr 01 2014 00:00:00 GMT+0000 (UTC)",45.8737,6.8935,NA,NA,NA,NA,"Exideuil",45.88639,0.67318,"P","PPL",1055,NA,152,"Europe/Paris","","",151.890605871046
